"","label","chemical","Commodity","Year","A","B","C","D","E","LD50"
"1","RESTRICTED USE CHEMICAL","(PRONAMIDE = 101701)","BROCCOLI",2006,"200",1.196,1.2,1,"(Z)",4192
"2","RESTRICTED USE CHEMICAL","(CHLORPYRIFOS = 59101)","BROCCOLI",2006,"11000",0.954999999999999,1.024,1.1,"8",202
"3","RESTRICTED USE CHEMICAL","(CHLORPYRIFOS = 59101)","CAULIFLOWER",2006,"3500",0.792,0.793,1,"11",202
"4","RESTRICTED USE CHEMICAL","(DIAZINON = 57801)","BROCCOLI",2006,"21400",0.909,0.967999999999999,1.1,"17",100
"5","RESTRICTED USE CHEMICAL","(DIAZINON = 57801)","CAULIFLOWER",2006,"4900",0.864999999999999,0.882,1,"14",100
"6","RESTRICTED USE CHEMICAL","(DISULFOTON = 32501)","BROCCOLI",2006,"10200",1.00099999999999,1.002,1,"8",100
"7","RESTRICTED USE CHEMICAL","(EMAMECTIN BENZOATE = 122806)","BROCCOLI",2006,"200",0.01,0.01,1,"17",1516
"8","RESTRICTED USE CHEMICAL","(EMAMECTIN BENZOATE = 122806)","CAULIFLOWER",2006,"(Z)",0.01,0.014,1.4,"5",1516
"9","RESTRICTED USE CHEMICAL","(ESFENVALERATE = 109303)","BROCCOLI",2006,"1100",0.0379999999999999,0.0439999999999999,1.1,"19",93
"10","RESTRICTED USE CHEMICAL","(ESFENVALERATE = 109303)","CAULIFLOWER",2006,"300",0.041,0.056,1.4,"15",93
"11","RESTRICTED USE CHEMICAL","(GAMMA-CYHALOTHRIN = 128807)","BROCCOLI",2006,"(Z)",0.0149999999999999,0.016,1.1,"1",860
"12","RESTRICTED USE CHEMICAL","(LAMBDA-CYHALOTHRIN = 128897)","BROCCOLI",2006,"300",0.028,0.032,1.2,"6",56
"13","RESTRICTED USE CHEMICAL","(LAMBDA-CYHALOTHRIN = 128897)","CAULIFLOWER",2006,"300",0.024,0.0509999999999999,2.2,"14",56
"14","RESTRICTED USE CHEMICAL","(METHOMYL = 90301)","BROCCOLI",2006,"3600",0.827999999999999,0.853999999999999,1,"3",20
"15","RESTRICTED USE CHEMICAL","(METHOMYL = 90301)","CAULIFLOWER",2006,"1000",0.732999999999999,0.825999999999999,1.1,"3",20
"16","RESTRICTED USE CHEMICAL","(PERMETHRIN = 109701)","BROCCOLI",2006,"300",0.094,0.109,1.2,"2",2005
"17","RESTRICTED USE CHEMICAL","(PERMETHRIN = 109701)","CAULIFLOWER",2006,"(Z)",0.0929999999999999,0.099,1.1,"1",2005
"18","RESTRICTED USE CHEMICAL","(ZETA-CYPERMETHRIN = 129064)","BROCCOLI",2006,"800",0.042,0.047,1.1,"14",86
"19","RESTRICTED USE CHEMICAL","(ZETA-CYPERMETHRIN = 129064)","CAULIFLOWER",2006,"400",0.0429999999999999,0.07,1.6,"13",86
