"","YYYY","MM_DD","ATMP","WTMP"
"1",1985,"9-14",8.5,NA
"2",1985,"9-15",6.1,NA
"3",1985,"9-16",7.5,NA
"4",1985,"9-17",7.2,NA
"5",1985,"9-18",7.6,NA
"6",1985,"9-19",6.9,NA
"7",1985,"9-20",8.4,NA
"8",1985,"9-21",7.9,NA
"9",1985,"9-22",6.7,NA
"10",1985,"9-23",6.1,NA
"11",1985,"9-24",8.2,NA
"12",1985,"9-25",7.9,NA
"13",1985,"9-26",8,NA
"14",1985,"9-27",8,NA
"15",1985,"9-28",5.8,NA
"16",1985,"9-29",7,NA
"17",1985,"9-30",6.7,NA
"18",1985,"10-1",5.2,NA
"19",1985,"10-2",4.4,NA
"20",1985,"10-3",3.2,8.5
"21",1985,"10-4",6.2,8.5
"22",1985,"10-5",8.2,8.5
"23",1985,"10-6",7.8,8.5
"24",1985,"10-7",7.9,8.3
"25",1985,"10-8",7.1,8.1
"26",1985,"10-9",5.3,8
"27",1985,"10-10",5.3,7.8
"28",1985,"10-11",5.4,7.8
"29",1985,"10-12",5.1,7.7
"30",1985,"10-13",5,7.6
"31",1985,"10-14",7.6,7.4
"32",1985,"10-15",6.4,7
"33",1985,"10-16",4.7,7
"34",1985,"10-17",3.1,6.8
"35",1985,"10-18",6.3,6.8
"36",1985,"10-19",7.4,6.9
"37",1985,"10-20",4.9,6.8
"38",1985,"10-21",4.6,6.8
"39",1985,"10-22",3.2,6.6
"40",1985,"10-23",1.9,6.6
"41",1985,"10-24",2.2,6.5
"42",1985,"10-25",3.2,6.5
"43",1985,"10-26",6.2,6.5
"44",1985,"10-27",5.7,6.3
"45",1985,"10-28",1.6,5.9
"46",1985,"10-29",2.5,5.8
"47",1985,"10-30",2.1,5.3
"48",1985,"10-31",2,5
"49",1985,"11-1",1.6,5
"50",1985,"11-2",3.3,5
"51",1985,"11-3",4.1,5
"52",1985,"11-4",5.1,5.1
"53",1985,"11-5",3.3,5.1
"54",1985,"11-6",1.8,4.9
"55",1985,"11-7",2.8,5
"56",1985,"11-8",2.4,4.9
"57",1985,"11-9",4.7,4.9
"58",1985,"11-10",2.3,4.5
"59",1985,"11-11",3.1,4.6
"60",1985,"11-12",2.2,4.5
"61",1985,"11-13",3.8,4.6
"62",1985,"11-14",5.2,4.6
"63",1985,"11-15",5.6,4.6
"64",1985,"11-16",3.1,4.6
"65",1985,"11-17",5.9,4.6
"66",1985,"11-18",4.3,4.6
"67",1985,"11-19",5.5,4.6
"68",1985,"11-20",5.5,4.5
"69",1985,"11-21",3.8,4.5
"70",1985,"11-22",3.9,4.6
"71",1985,"11-23",4.7,4.5
"72",1985,"11-24",4.8,4.5
"73",1985,"11-25",4.2,4.5
"74",1985,"11-26",2.9,4.5
"75",1985,"11-27",1.6,4.4
"76",1985,"11-28",2.8,4.4
"77",1985,"11-29",2.5,4.5
"78",1985,"11-30",4.2,4.5
"79",1985,"12-1",2.7,4.4
"80",1985,"12-2",2.1,4.4
"81",1985,"12-3",1.6,4.2
"82",1985,"12-4",2.2,4.6
"83",1985,"12-5",0.7,4.2
"84",1985,"12-6",1.3,4.6
"85",1985,"12-7",1.9,4.4
"86",1985,"12-8",3.6,4.5
"87",1985,"12-9",4.6,4.4
"88",1985,"12-10",2.9,4.6
"89",1985,"12-11",3.1,4.6
"90",1985,"12-12",3.5,4.5
"91",1985,"12-13",2.9,4.4
"92",1985,"12-14",3.9,4.4
"93",1985,"12-15",2.2,4.4
"94",1985,"12-16",2.5,4.4
"95",1985,"12-17",3.5,4.4
"96",1985,"12-18",3.6,4.4
"97",1985,"12-19",0.2,4.3
"98",1985,"12-20",1,4.2
"99",1985,"12-21",1.5,4.2
"100",1985,"12-22",3.6,4.2
"101",1985,"12-23",2.9,4.2
"102",1985,"12-24",3,4.2
"103",1985,"12-25",3.4,4.1
"104",1985,"12-26",4.2,4.1
"105",1985,"12-27",2.7,4
"106",1985,"12-28",3.2,4.2
"107",1985,"12-29",2.1,4
"108",1985,"12-30",2.3,4.1
"109",1985,"12-31",2.4,4
"110",1986,"1-1",2.1,4.2
"111",1986,"1-3",-4.1,4.2
"112",1986,"1-4",-8,4.1
"113",1986,"1-5",-5.9,4
"114",1986,"1-6",-0.9,4
"115",1986,"1-7",-0.3,4
"116",1986,"1-8",1.3,4
"117",1986,"1-9",-3,4
"118",1986,"1-10",-5.4,3.7
"119",1986,"1-11",-4.3,3.7
"120",1986,"1-12",-0.3,3.7
"121",1986,"1-13",-1.1,3.6
"122",1986,"1-14",0.4,3.6
"123",1986,"1-15",-3,3.7
"124",1986,"1-16",-2.8,3.5
"125",1986,"1-17",-2.8,3.4
"126",1986,"1-18",-1.1,3.5
"127",1986,"1-19",-5.9,3.4
"128",1986,"1-20",-3.6,3.4
"129",1986,"1-21",-3.4,3.3
"130",1986,"1-22",-1.4,3.4
"131",1986,"1-23",2.5,3.6
"132",1986,"1-24",2.5,3.7
"133",1986,"1-25",1.1,3.6
"134",1986,"1-26",2.3,3.5
"135",1986,"1-27",3,3.4
"136",1986,"1-28",1.9,3.2
"137",1986,"1-29",1.8,3.1
"138",1986,"1-30",0.1,3
"139",1986,"1-31",-3.8,3
"140",1986,"2-1",-6.8,2.9
"141",1986,"2-2",-2.8,3.3
"142",1986,"2-3",-0.5,3.5
"143",1986,"2-4",1,3.4
"144",1986,"2-5",3,3.4
"145",1986,"2-6",2.2,3.4
