"","YYYY","MM_DD","ATMP"
"1",1985,"9-14",8.5
"2",1985,"9-15",6.1
"3",1985,"9-16",7.5
"4",1985,"9-17",7.2
"5",1985,"9-18",7.6
"6",1985,"9-19",6.9
"7",1985,"9-20",8.4
"8",1985,"9-21",7.9
"9",1985,"9-22",6.7
"10",1985,"9-23",6.1
"11",1985,"9-24",8.2
"12",1985,"9-25",7.9
"13",1985,"9-26",8
"14",1985,"9-27",8
"15",1985,"9-28",5.8
"16",1985,"9-29",7
"17",1985,"9-30",6.7
"18",1985,"10-1",5.2
"19",1985,"10-2",4.4
"20",1985,"10-3",3.2
"21",1985,"10-4",6.2
"22",1985,"10-5",8.2
"23",1985,"10-6",7.8
"24",1985,"10-7",7.9
"25",1985,"10-8",7.1
"26",1985,"10-9",5.3
"27",1985,"10-10",5.3
"28",1985,"10-11",5.4
"29",1985,"10-12",5.1
"30",1985,"10-13",5
"31",1985,"10-14",7.6
"32",1985,"10-15",6.4
"33",1985,"10-16",4.7
"34",1985,"10-17",3.1
"35",1985,"10-18",6.3
"36",1985,"10-19",7.4
"37",1985,"10-20",4.9
"38",1985,"10-21",4.6
"39",1985,"10-22",3.2
"40",1985,"10-23",1.9
"41",1985,"10-24",2.2
"42",1985,"10-25",3.2
"43",1985,"10-26",6.2
"44",1985,"10-27",5.7
"45",1985,"10-28",1.6
"46",1985,"10-29",2.5
"47",1985,"10-30",2.1
"48",1985,"10-31",2
"49",1985,"11-1",1.6
"50",1985,"11-2",3.3
"51",1985,"11-3",4.1
"52",1985,"11-4",5.1
"53",1985,"11-5",3.3
"54",1985,"11-6",1.8
"55",1985,"11-7",2.8
"56",1985,"11-8",2.4
"57",1985,"11-9",4.7
"58",1985,"11-10",2.3
"59",1985,"11-11",3.1
"60",1985,"11-12",2.2
"61",1985,"11-13",3.8
"62",1985,"11-14",5.2
"63",1985,"11-15",5.6
"64",1985,"11-16",3.1
"65",1985,"11-17",5.9
"66",1985,"11-18",4.3
"67",1985,"11-19",5.5
"68",1985,"11-20",5.5
"69",1985,"11-21",3.8
"70",1985,"11-22",3.9
"71",1985,"11-23",4.7
"72",1985,"11-24",4.8
"73",1985,"11-25",4.2
"74",1985,"11-26",2.9
"75",1985,"11-27",1.6
"76",1985,"11-28",2.8
"77",1985,"11-29",2.5
"78",1985,"11-30",4.2
"79",1985,"12-1",2.7
"80",1985,"12-2",2.1
"81",1985,"12-3",1.6
"82",1985,"12-4",2.2
"83",1985,"12-5",0.7
"84",1985,"12-6",1.3
"85",1985,"12-7",1.9
"86",1985,"12-8",3.6
"87",1985,"12-9",4.6
"88",1985,"12-10",2.9
"89",1985,"12-11",3.1
"90",1985,"12-12",3.5
"91",1985,"12-13",2.9
"92",1985,"12-14",3.9
"93",1985,"12-15",2.2
"94",1985,"12-16",2.5
"95",1985,"12-17",3.5
"96",1985,"12-18",3.6
"97",1985,"12-19",0.2
"98",1985,"12-20",1
"99",1985,"12-21",1.5
"100",1985,"12-22",3.6
"101",1985,"12-23",2.9
"102",1985,"12-24",3
"103",1985,"12-25",3.4
"104",1985,"12-26",4.2
"105",1985,"12-27",2.7
"106",1985,"12-28",3.2
"107",1985,"12-29",2.1
"108",1985,"12-30",2.3
"109",1985,"12-31",2.4
"110",1986,"1-1",2.1
"111",1986,"1-3",-4.1
"112",1986,"1-4",-8
"113",1986,"1-5",-5.9
"114",1986,"1-6",-0.9
"115",1986,"1-7",-0.3
"116",1986,"1-8",1.3
"117",1986,"1-9",-3
"118",1986,"1-10",-5.4
"119",1986,"1-11",-4.3
"120",1986,"1-12",-0.3
"121",1986,"1-13",-1.1
"122",1986,"1-14",0.4
"123",1986,"1-15",-3
"124",1986,"1-16",-2.8
"125",1986,"1-17",-2.8
"126",1986,"1-18",-1.1
"127",1986,"1-19",-5.9
"128",1986,"1-20",-3.6
"129",1986,"1-21",-3.4
"130",1986,"1-22",-1.4
"131",1986,"1-23",2.5
"132",1986,"1-24",2.5
"133",1986,"1-25",1.1
"134",1986,"1-26",2.3
"135",1986,"1-27",3
"136",1986,"1-28",1.9
"137",1986,"1-29",1.8
"138",1986,"1-30",0.1
"139",1986,"1-31",-3.8
